classification,flag,press_length,date_string,timestamp,event_start,interval_length,interval
-1,0,5,20230112,18:49:38,20907,5,"[439, 439, 441, 449, 449]"
1,0,30,20230112,18:49:59,21354,15,"[314, 302, 299, 297, 299, 299, 299, 299, 297, 297, 294, 297, 302, 307, 396]"
-1,0,9,20230112,18:51:53,23755,6,"[304, 304, 304, 307, 330, 535]"
1,0,27,20230112,18:54:45,27390,8,"[314, 312, 309, 309, 309, 299, 309, 309]"
-1,0,4,20230112,18:59:20,33174,5,"[325, 317, 320, 320, 325]"
1,0,26,20230112,18:59:37,33526,11,"[297, 292, 289, 289, 289, 289, 289, 289, 294, 312, 459]"
-1,0,6,20230112,19:00:51,35101,3,"[335, 332, 335]"
-1,0,5,20230112,19:05:57,41521,5,"[279, 256, 259, 261, 269]"
-1,0,6,20230112,19:09:49,46420,5,"[411, 302, 297, 294, 299]"
1,0,29,20230112,19:12:39,49997,10,"[182, 170, 170, 167, 160, 167, 167, 167, 165, 170]"
-1,0,5,20230112,19:16:34,54928,6,"[398, 264, 220, 182, 223, 238]"
-1,0,6,20230112,19:18:10,56952,5,"[187, 187, 185, 187, 195]"
-1,0,3,20230112,19:20:06,59389,6,"[243, 236, 231, 231, 233, 248]"
-1,0,9,20230112,19:20:43,60180,5,"[215, 208, 205, 205, 210]"
-1,0,5,20230112,19:28:13,69646,5,"[375, 365, 365, 370, 391]"
-1,0,5,20230112,19:28:16,69706,5,"[391, 368, 368, 368, 375]"
-1,0,9,20230112,19:48:20,95028,8,"[172, 170, 167, 167, 167, 167, 162, 167]"
-1,0,5,20230108,09:23:08,36443,7,"[340, 332, 309, 309, 312, 330, 320]"
1,0,37,20230108,09:28:37,43318,16,"[317, 337, 335, 297, 297, 297, 297, 297, 297, 299, 299, 299, 299, 320, 309, 320]"
-1,0,6,20230108,09:31:40,47184,4,"[287, 276, 294, 281]"
-1,0,5,20230108,09:32:20,48035,5,"[393, 256, 256, 259, 383]"
-1,0,6,20230108,09:38:55,56347,7,"[213, 213, 195, 195, 198, 203, 386]"
-1,0,6,20230108,09:40:48,58719,8,"[215, 444, 193, 193, 193, 200, 200, 297]"
1,0,30,20230108,09:42:56,61383,14,"[269, 259, 248, 248, 251, 132, 251, 251, 254, 254, 254, 256, 261, 515]"
1,0,30,20230108,09:47:11,66758,14,"[208, 363, 185, 180, 180, 180, 175, 180, 167, 63, 180, 187, 431, 213]"
-1,0,5,20230108,09:50:55,71473,9,"[208, 195, 193, 193, 195, 193, 195, 200, 406]"
-1,0,5,20230108,09:57:43,80057,11,"[411, 355, 129, 124, 124, 124, 124, 124, 129, 129, 480]"
1,0,28,20230108,09:57:48,80171,48,"[406, 368, 363, 363, 383, 337, 322, 284, 312, 322, 373, 353, 147, 142, 137, 139, 129, 129, 127, 124, 124, 149, 121, 119, 119, 119, 119, 111, 109, 119, 111, 116, 116, 116, 116, 114, 114, 114, 111, 111, 111, 111, 111, 114, 119, 121, 127, 127]"
-1,0,6,20230108,09:57:58,80375,7,"[292, 132, 132, 132, 132, 132, 142]"
-1,0,6,20230108,09:58:15,80732,7,"[149, 144, 142, 144, 149, 96, 414]"
-1,0,6,20230108,09:58:45,81367,7,"[195, 182, 185, 185, 185, 185, 193]"
-1,0,5,20230108,10:08:43,93903,5,"[276, 279, 284, 289, 297]"
-1,0,4,20230108,10:08:44,93935,2,"[403, 403]"
-1,0,5,20230108,10:22:57,111906,10,"[401, 401, 439, 93, 193, 193, 193, 193, 198, 213]"
1,0,27,20230108,10:26:23,116217,10,"[477, 378, 220, 167, 210, 208, 142, 91, 220, 485]"
-1,0,6,20230108,10:27:18,117378,4,"[337, 233, 233, 238]"
-1,0,4,20230108,10:28:27,118832,5,"[452, 330, 330, 317, 452]"
1,0,20,20230108,10:30:16,121121,13,"[287, 363, 472, 274, 276, 276, 274, 274, 274, 274, 304, 281, 302]"
-1,0,7,20230108,10:30:23,121278,8,"[330, 274, 289, 190, 246, 218, 444, 444]"
1,0,27,20230108,10:30:29,121397,14,"[279, 233, 259, 233, 236, 236, 238, 241, 243, 248, 401, 256, 266, 370]"
-1,0,4,20230108,10:33:12,124827,8,"[513, 358, 220, 96, 106, 335, 386, 386]"
1,0,27,20230108,10:33:17,124934,12,"[538, 398, 241, 276, 276, 276, 276, 276, 279, 561, 279, 391]"
1,0,18,20230108,10:33:49,125606,12,"[375, 325, 203, 129, 116, 269, 109, 170, 271, 276, 276, 205]"
-1,0,4,20230108,10:35:38,127905,6,"[436, 299, 101, 226, 226, 337]"
-1,0,6,20230108,10:35:41,127986,10,"[510, 299, 238, 238, 114, 289, 287, 246, 106, 325]"
-1,0,8,20230108,10:40:01,133413,7,"[523, 350, 228, 228, 213, 78, 243]"
-1,0,5,20230108,10:41:28,135232,3,"[241, 119, 220]"
1,0,22,20230108,10:43:18,137539,7,"[228, 215, 213, 210, 210, 213, 215]"
-1,0,6,20230108,10:43:26,137713,5,"[373, 325, 368, 287, 482]"
-1,0,5,20230108,10:44:38,139239,5,"[332, 279, 139, 208, 330]"
1,0,29,20230108,10:45:45,140636,24,"[421, 210, 508, 487, 287, 48, 243, 243, 124, 45, 172, 157, 127, 269, 208, 266, 266, 266, 274, 210, 271, 281, 185, 523]"
-1,0,5,20230108,10:46:50,142008,6,"[436, 340, 274, 271, 276, 276]"
1,0,25,20230108,10:47:00,142210,13,"[398, 309, 101, 76, 215, 215, 213, 213, 215, 233, 220, 236, 398]"
-1,0,6,20230108,10:47:07,142379,8,"[411, 383, 320, 254, 220, 220, 281, 383]"
-1,0,6,20230108,10:47:30,142856,10,"[378, 172, 279, 317, 78, 330, 330, 342, 342, 342]"
-1,0,5,20230108,10:48:12,143737,5,"[414, 241, 241, 248, 421]"
1,0,25,20230108,10:48:37,144265,19,"[210, 208, 205, 208, 205, 195, 205, 203, 203, 203, 203, 203, 203, 200, 200, 205, 205, 208, 215]"
-1,0,7,20230108,10:48:48,144511,6,"[312, 307, 307, 312, 312, 312]"
1,0,24,20230108,10:48:56,144653,20,"[266, 259, 256, 256, 256, 261, 259, 261, 261, 264, 264, 264, 264, 264, 264, 264, 266, 271, 279, 289]"
1,0,22,20230108,10:49:58,145954,10,"[439, 254, 254, 254, 256, 256, 259, 261, 264, 281]"
-1,0,5,20230108,10:50:47,147012,14,"[259, 243, 243, 241, 241, 243, 241, 248, 325, 320, 243, 223, 220, 246]"
